review_scores_rating,price,property_type,neighbourhood_cleansed,host_is_superhost,availability_30,availability_60,availability_90,instant_bookable,calculated_host_listings_count,reviews_per_month
97.0,140.0,Entire apartment,Inner Richmond,t,0,0,0,f,3,0.62
98.0,1200.0,Entire house,Noe Valley,f,23,53,83,f,2,0.24
99.0,150.0,Private room in house,Castro/Upper Market,t,9,39,50,f,1,0.62
98.0,375.0,Entire condominium,Outer Richmond,t,0,8,28,f,1,1.85
96.0,515.0,Entire house,Presidio Heights,f,0,0,0,f,1,0.16
94.0,53.0,Private room in apartment,Pacific Heights,t,30,60,90,f,9,1.05
92.0,170.0,Entire apartment,Diamond Heights,f,0,6,36,f,4,0.95
99.0,275.0,Entire apartment,Castro/Upper Market,f,0,0,0,f,1,0.17
85.0,62.0,Entire apartment,Marina,f,2,2,3,f,4,1.01
92.0,70.0,Entire apartment,Twin Peaks,f,0,0,0,f,4,4.25
94.0,149.0,Entire apartment,Mission,t,0,0,3,t,2,1.08
99.0,75.0,Private room in townhouse,Potrero Hill,t,0,0,0,f,1,2.1
97.0,89.0,Private room in guest suite,West of Twin Peaks,t,0,0,0,f,3,3.3
96.0,170.0,Entire guesthouse,Castro/Upper Market,f,30,60,89,f,1,1.41
97.0,135.0,Entire apartment,Haight Ashbury,t,0,7,37,f,1,1.41
87.0,110.0,Entire apartment,Financial District,f,30,60,90,f,15,0.21
95.0,135.0,Entire apartment,Chinatown,f,30,60,90,f,15,0.45
83.0,45.0,Private room in house,Excelsior,f,30,60,90,f,12,0.09
97.0,90.0,Entire apartment,Chinatown,f,0,0,0,t,2,0.59
97.0,220.0,Entire apartment,Glen Park,t,30,60,90,f,1,2.46
97.0,138.0,Entire guest suite,Haight Ashbury,t,0,0,0,t,1,4.39
99.0,80.0,Private room in apartment,Bernal Heights,t,0,0,0,t,2,1.79
100.0,140.0,Entire condominium,North Beach,t,30,60,90,t,16,0.06
97.0,136.0,Entire apartment,Western Addition,f,8,38,68,f,2,1.89
100.0,30.0,Shared room in house,Chinatown,f,1,1,1,f,21,0.1
97.0,30.0,Shared room in house,Chinatown,f,0,0,0,f,21,0.05
80.0,30.0,Shared room in house,Chinatown,f,0,0,0,f,21,0.04
96.0,285.0,Entire house,Noe Valley,t,21,37,67,t,1,3.76
96.0,199.0,Entire apartment,Downtown/Civic Center,f,30,60,90,f,1,0.69
96.0,130.0,Entire guest suite,Russian Hill,t,1,18,48,f,1,4.51
94.0,62.0,Private room in house,Haight Ashbury,f,30,60,90,f,5,4.38
94.0,130.0,Entire apartment,Western Addition,f,0,28,58,f,1,0.22
91.0,62.0,Private room in house,Haight Ashbury,f,29,59,89,f,5,4.14
90.0,62.0,Private room in house,Haight Ashbury,f,27,57,87,f,5,4.61
93.0,75.0,Private room in apartment,Nob Hill,t,30,60,90,f,1,0.03
99.0,147.0,Entire house,Bernal Heights,f,0,0,0,f,1,0.44
93.0,80.0,Entire apartment,Haight Ashbury,f,9,39,69,f,12,0.4
89.0,62.0,Private room in house,Haight Ashbury,f,30,60,90,f,5,3.97
95.0,139.0,Private room in condominium,Russian Hill,f,21,51,80,f,4,1.98
98.0,149.0,Entire house,Mission,t,21,51,72,f,1,1.17
93.0,45.0,Shared room in hostel,Financial District,f,29,59,89,t,21,3.27
97.0,135.0,Entire apartment,Bernal Heights,f,0,0,0,f,2,0.17
99.0,225.0,Entire apartment,Noe Valley,t,0,27,57,f,1,0.73
98.0,99.0,Entire guest suite,Inner Sunset,f,8,38,68,f,1,1.05
96.0,119.0,Private room in condominium,Russian Hill,f,29,59,88,t,4,2.05
95.0,138.0,Entire guest suite,Parkside,t,0,0,0,t,1,1.97
93.0,45.0,Shared room in hostel,Financial District,f,29,59,89,t,21,2.94
97.0,91.0,Entire apartment,Chinatown,f,0,25,55,t,2,0.66
90.0,129.0,Entire condominium,Downtown/Civic Center,f,0,0,29,f,24,0.1
97.0,80.0,Private room in guest suite,Inner Richmond,t,0,0,0,t,1,3.05
91.0,68.0,Private room in house,Bernal Heights,t,0,0,0,f,3,0.14
92.0,45.0,Shared room in hostel,Financial District,f,28,58,88,t,21,2.19
94.0,45.0,Shared room in hostel,Financial District,f,29,59,89,t,21,2.05
91.0,94.0,Entire apartment,Inner Sunset,f,8,38,68,f,39,0.13
94.0,250.0,Entire apartment,Haight Ashbury,f,19,26,56,f,1,1.27
98.0,81.0,Entire condominium,South of Market,t,6,36,66,f,1,0.96
91.0,55.0,Private room in apartment,Outer Sunset,t,9,39,69,f,2,1.34
98.0,339.0,Entire condominium,Potrero Hill,t,0,0,0,f,2,0.38
95.0,79.0,Private room in house,Outer Sunset,f,0,0,0,f,1,0.81
97.0,110.0,Entire guest suite,Outer Mission,t,24,54,84,f,1,3.38
97.0,525.0,Entire apartment,Mission,f,0,0,0,f,2,0.12
94.0,250.0,Private room in house,West of Twin Peaks,f,0,0,0,f,1,0.39
88.0,42.0,Private room in apartment,Bernal Heights,f,30,60,90,f,1,0.89
95.0,77.0,Entire guesthouse,Noe Valley,t,19,49,79,f,2,1.96
100.0,210.0,Entire condominium,Castro/Upper Market,t,30,60,90,f,16,0.05
98.0,196.0,Entire apartment,Potrero Hill,t,19,42,71,f,1,1.84
82.0,45.0,Private room in house,Excelsior,f,30,60,90,f,12,0.17
98.0,299.0,Entire apartment,Castro/Upper Market,t,2,32,62,t,1,1.73
95.0,32.0,Private room in house,Excelsior,f,0,0,0,f,12,0.17
96.0,558.0,Entire house,Outer Sunset,t,0,0,0,f,2,2.01
97.0,169.0,Entire house,Noe Valley,f,20,50,80,f,1,0.61
89.0,105.0,Entire apartment,Chinatown,f,28,58,88,f,2,1.1
97.0,325.0,Entire house,Pacific Heights,f,25,55,85,f,1,0.5
99.0,600.0,Entire condominium,North Beach,t,30,60,90,f,2,1.42
94.0,90.0,Entire apartment,Haight Ashbury,f,8,38,68,f,12,0.25
96.0,51.0,Private room in house,Excelsior,f,30,60,90,f,1,0.75
97.0,249.0,Entire apartment,Mission,f,0,0,0,f,1,1.27
94.0,199.0,Entire apartment,Western Addition,f,8,38,68,f,2,0.31
100.0,250.0,Entire loft,South of Market,f,0,0,0,t,1,0.06
95.0,150.0,Entire apartment,Haight Ashbury,f,30,45,45,f,3,1.06
98.0,119.0,Private room in cottage,Castro/Upper Market,t,30,60,90,f,1,1.91
98.0,130.0,Private room in condominium,Marina,t,0,0,0,f,5,1.2
100.0,147.0,Entire apartment,Mission,f,0,20,49,f,1,0.06
100.0,99.0,Private room in apartment,Western Addition,f,30,60,90,f,2,0.03
100.0,662.0,Entire house,Castro/Upper Market,f,9,39,69,t,1,0.27
97.0,75.0,Private room in house,Outer Mission,f,29,59,89,f,1,0.43
94.0,85.0,Private room in apartment,Castro/Upper Market,t,0,0,0,f,2,0.22
92.0,160.0,Entire condominium,Bernal Heights,f,0,0,0,f,1,0.33
96.0,50.0,Private room in house,Mission,f,22,22,22,f,5,0.4
97.0,128.0,Private room in apartment,Castro/Upper Market,t,0,0,27,f,2,3.64
83.0,35.0,Private room in house,Excelsior,f,0,8,38,f,12,0.25
100.0,90.0,Private room in condominium,Western Addition,t,0,0,0,f,1,0.22
96.0,60.0,Entire guesthouse,Presidio Heights,f,0,10,40,f,2,2.29
95.0,549.0,Entire apartment,Castro/Upper Market,t,0,0,0,f,2,0.45
91.0,50.0,Private room in house,Mission,f,0,18,48,f,1,1.12
99.0,849.0,Entire house,Haight Ashbury,f,23,53,83,f,1,0.15
93.0,130.0,Entire guest suite,Haight Ashbury,t,30,60,90,f,1,2.93
96.0,390.0,Entire house,Bernal Heights,f,0,0,0,f,1,0.13
97.0,200.0,Entire guest suite,Potrero Hill,t,0,0,0,f,2,1.34
96.0,99.0,Entire apartment,Bernal Heights,t,3,11,41,f,1,3.96
99.0,355.0,Entire apartment,Mission,t,0,9,39,f,1,0.39
96.0,700.0,Entire house,Castro/Upper Market,f,0,0,9,f,1,0.34
100.0,189.0,Entire apartment,Noe Valley,f,0,0,0,f,1,3.7
96.0,72.0,Entire apartment,Pacific Heights,t,0,0,0,f,9,0.23
95.0,73.0,Entire guest suite,Mission,f,6,36,66,f,5,0.23
99.0,421.0,Entire guest suite,Inner Richmond,t,0,23,53,f,1,2.98
98.0,59.0,Private room in apartment,Mission,t,1,1,1,f,9,0.2
90.0,120.0,Entire apartment,Outer Richmond,f,22,52,82,f,2,2.21
93.0,86.0,Entire apartment,Downtown/Civic Center,f,0,0,16,f,24,0.13
96.0,30.0,Shared room in house,Financial District,f,0,0,0,f,3,0.11
100.0,30.0,Shared room in house,Chinatown,f,0,0,0,f,3,0.1
94.0,30.0,Shared room in house,Chinatown,f,0,0,0,f,3,0.07
98.0,98.0,Private room in condominium,Outer Richmond,t,0,0,0,f,1,2.72
98.0,150.0,Entire apartment,Western Addition,f,0,0,0,f,1,0.2
99.0,324.0,Entire house,Outer Sunset,t,0,0,9,f,1,1.26
100.0,190.0,Entire apartment,Glen Park,t,0,0,10,f,2,0.08
87.0,80.0,Entire apartment,Western Addition,f,30,60,90,f,12,0.22
89.0,40.0,Private room in apartment,Outer Sunset,t,9,39,69,f,2,1.46
96.0,155.0,Entire apartment,Russian Hill,f,30,60,90,f,2,0.42
93.0,425.0,Entire house,Western Addition,f,0,0,0,f,1,0.41
